Card_id,Bname,Email,Street,City,State,Phone,Ssn
ID000038,Kenneth Harrison,kharrison11@sitemeter.com,25074 Holmberg Park,Richardson,TX,9727741504,728844113
ID000039,Betty Austin,baustin12@nature.com,4 Schmedeman Terrace,Dallas,TX,9729277561,792174540
ID000040,Irene Gonzalez,igonzalez13@boston.com,820 Oxford Crossing,Dallas,TX,2148655203,433053698
ID000041,Charles Foster,cfoster14@mtv.com,850 Summerview Crossing,Dallas,TX,4699106688,132213747
ID000042,Gregory Perez,gperez15@myspace.com,57 Bluejay Pass,Dallas,TX,9724338549,457939804
ID000043,Jose Stone,jstone16@nhs.uk,93 Waywood Parkway,Dallas,TX,9729918017,906161095
ID000044,Patrick Moore,pmoore17@baidu.com,78 Crest Line Road,Dallas,TX,2149502446,882366316
ID000045,Louis Lynch,llynch18@zimbio.com,12197 Kinsman Center,Dallas,TX,4698204208,728963473
ID000046,Matthew Snyder,msnyder19@google.com.au,169 Mayfield Park,Richardson,TX,4698555018,377441238
ID000047,Sara Wagner,swagner1a@addtoany.com,24827 Twin Pines Junction,Richardson,TX,4699145869,582627069
ID000048,Louise Long,llong1b@gov.uk,6 Haas Center,Dallas,TX,2149390517,577822947
ID000049,Judy Hamilton,jhamilton1c@domainmarket.com,65364 Mosinee Center,Dallas,TX,9728472849,216536968
ID000050,Evelyn Young,eyoung1d@java.com,4788 South Street,Dallas,TX,2148649776,202403427
ID000051,James Moore,jmoore1e@wix.com,9089 Lunder Parkway,Dallas,TX,4698304056,897568517
ID000052,Clarence Romero,cromero1f@tumblr.com,68501 Michigan Street,Plano,TX,9729821803,923847867
ID000053,Jennifer Smith,jsmith1g@opensource.org,3 Cordelia Terrace,Dallas,TX,4699635598,539630143
ID000054,Jack Baker,jbaker1h@sina.com.cn,01441 Eastlawn Place,Dallas,TX,9729091277,636251591
ID000055,Amy Nguyen,anguyen1i@usa.gov,79 Rigney Circle,Dallas,TX,2149052261,622935915
ID000056,Maria Stevens,mstevens1j@tiny.cc,5348 David Point,Plano,TX,9729925831,823008890
ID000057,Teresa Carpenter,tcarpenter1k@angelfire.com,6280 Spenser Lane,Dallas,TX,9729082593,534077079
ID000058,Roy Arnold,rarnold1l@samsung.com,7548 Dunning Junction,Richardson,TX,2149909053,203688563
ID000059,Randy Stewart,rstewart1m@telegraph.co.uk,5004 Emmet Park,Dallas,TX,4694222991,457751314
ID000060,Brenda Fernandez,bfernandez1n@upenn.edu,335 Forster Alley,Dallas,TX,2149206944,524730400
ID000061,Janet Thompson,jthompson1o@cbslocal.com,1 Chinook Place,Plano,TX,9729868081,344668375
ID000062,Billy Ortiz,bortiz1p@privacy.gov.au,4 Hintze Court,Dallas,TX,4698081346,716553314
ID000063,Edward Hawkins,ehawkins1q@wix.com,96231 Northland Plaza,Dallas,TX,9727983752,869295873
ID000064,Mark Morgan,mmorgan1r@ed.gov,5 Miller Lane,Dallas,TX,4697846546,218816261
ID000065,Carolyn Morgan,cmorgan1s@dedecms.com,975 Golf View Place,Dallas,TX,4696748726,913501956
ID000066,Tina Weaver,tweaver1t@zdnet.com,5414 Green Ridge Street,Dallas,TX,4698400879,749408693
ID000067,Eric Taylor,etaylor1u@mozilla.org,6 Fisk Pass,Dallas,TX,2147147652,992926136
ID000068,Ruth Henry,rhenry1v@behance.net,84 Hermina Street,Dallas,TX,9729342054,378071662
ID000069,Phillip Perkins,pperkins1w@ezinearticles.com,84771 Bartelt Trail,Dallas,TX,2149174226,388449990
ID000070,Annie Welch,awelch1x@ftc.gov,80 Stuart Road,Dallas,TX,9725161320,288230361
ID000071,Lois Hunter,lhunter1y@vimeo.com,49 Blaine Lane,Plano,TX,9728091141,509441761
ID000072,Lisa Cook,lcook1z@netscape.com,4412 Lakewood Gardens Plaza,Richardson,TX,9726539871,704795907
ID000073,Kathleen Harvey,kharvey20@foxnews.com,13 Grayhawk Hill,Dallas,TX,4695477753,948308402
ID000074,Diane Stevens,dstevens21@home.pl,0091 American Circle,Dallas,TX,4699421364,651576305
ID000075,Samuel Young,syoung22@pcworld.com,0157 Holmberg Street,Richardson,TX,4699185729,908632676
ID000076,Mark Riley,mriley23@theglobeandmail.com,4900 Thompson Court,Dallas,TX,9727672036,727253782
ID000077,Bonnie Ross,bross24@discovery.com,0 Walton Court,Richardson,TX,9727666908,775325935
ID000078,Elizabeth Arnold,earnold25@bloglovin.com,952 Sage Pass,Dallas,TX,2149672424,402350549
ID000079,John Walker,jwalker26@fastcompany.com,2 Packers Crossing,Dallas,TX,4697965094,270866950
ID000080,William Simmons,wsimmons27@webeden.co.uk,1232 Hayes Crossing,Dallas,TX,9729037706,982119636
ID000081,Lisa Kelley,lkelley28@storify.com,3718 Twin Pines Way,Dallas,TX,9729000487,757385276
ID000082,Carl Larson,clarson29@sohu.com,096 Goodland Parkway,Dallas,TX,4695502228,980242372
ID000083,Brandon Anderson,banderson2a@cargocollective.com,8 Leroy Circle,Dallas,TX,4699939270,444734007
ID000084,Gloria Myers,gmyers2b@wufoo.com,03 Elmside Center,Plano,TX,4698533967,278334174
ID000085,Daniel Freeman,dfreeman2c@dell.com,9584 Elka Place,Dallas,TX,9727699270,772259640
ID000086,Judith Mitchell,jmitchell2d@vimeo.com,2506 Merchant Terrace,Dallas,TX,9729029669,232984647
ID000087,Alan King,aking2e@meetup.com,958 Burrows Street,Dallas,TX,2145835636,937385159
ID000088,Steve Phillips,sphillips2f@reverbnation.com,45557 Jana Court,Dallas,TX,9729379620,327803166
ID000089,Brenda Butler,bbutler2g@google.com.br,5 Calypso Avenue,Dallas,TX,9728926177,405927423
ID000090,Patricia Spencer,pspencer2h@psu.edu,65143 Union Lane,Dallas,TX,2149099264,133378900
ID000091,Larry Olson,lolson2i@cargocollective.com,50299 Lien Parkway,Dallas,TX,9729657073,227646193
ID000092,Victor Sullivan,vsullivan2j@yahoo.com,272 Milwaukee Point,Plano,TX,9727594852,272416460
ID000093,Kathryn Taylor,ktaylor2k@weather.com,2952 Thackeray Point,Dallas,TX,2148620958,318950284
ID000094,Rachel Little,rlittle2l@histats.com,755 Kropf Pass,Dallas,TX,9727977226,729228562
ID000095,Donald Richardson,drichardson2m@sun.com,951 Chive Avenue,Dallas,TX,9729346450,783549793
ID000096,Stephen Chapman,schapman2n@techcrunch.com,0 Lunder Alley,Dallas,TX,2149871376,131525777
ID000097,Harold Richardson,hrichardson2o@t-online.de,76743 Burrows Court,Dallas,TX,4698991924,335185473
ID000098,Ernest Palmer,epalmer2p@360.cn,6 Upham Drive,Dallas,TX,9729422638,933152171
ID000099,Pamela Matthews,pmatthews2q@ustream.tv,2 Green Lane,Dallas,TX,2149440666,595383883
ID000100,Jason Campbell,jcampbell2r@mozilla.com,6 Raven Court,Dallas,TX,9728114885,808447643
ID000101,Joyce Fuller,jfuller2s@theguardian.com,45900 Iowa Way,Dallas,TX,4699063524,924160243
ID000102,Andrea Bailey,abailey2t@squidoo.com,33 Cardinal Alley,Richardson,TX,9728465566,348539608
ID000103,Denise Perry,dperry2u@google.es,68 Old Shore Lane,Dallas,TX,2149913418,379160722
ID000104,Michael Jacobs,mjacobs2v@themeforest.net,0 Brentwood Place,Richardson,TX,4699249727,997924787
ID000105,Catherine Reid,creid2w@ezinearticles.com,41544 Anniversary Crossing,Plano,TX,2149488236,664955489
ID000106,Aaron Romero,aromero2x@cam.ac.uk,844 Union Way,Dallas,TX,9725355154,424122851
ID000107,John Warren,jwarren2y@sciencedirect.com,9127 Farragut Center,Dallas,TX,4699235725,295193279
ID000108,Steve Garrett,sgarrett2z@google.nl,729 Kenwood Court,Richardson,TX,2147031311,806922733
ID000109,Jimmy Ellis,jellis30@deliciousdays.com,8 Nevada Place,Dallas,TX,9727428738,466926624
ID000110,Jose Perez,jperez31@webmd.com,4463 Commercial Circle,Richardson,TX,4698523133,454648101
ID000111,Katherine Dean,kdean32@nature.com,4978 Cordelia Way,Dallas,TX,9728867232,909186864
ID000112,Ashley Jackson,ajackson33@whitehouse.gov,676 David Road,Dallas,TX,4699760450,203549198
ID000113,Kathryn Hart,khart34@imdb.com,29 Dexter Circle,Dallas,TX,9729003590,177458737
ID000114,Dennis Ruiz,druiz35@nymag.com,18784 Browning Circle,Dallas,TX,9729741505,279966074
ID000115,Sharon Cox,scox36@upenn.edu,4 Hoffman Street,Dallas,TX,2149150820,561913511
ID000116,Ruby Burke,rburke37@nytimes.com,5 Swallow Avenue,Dallas,TX,9729288965,325124236
ID000117,Jerry Stewart,jstewart38@aboutads.info,54494 Kenwood Trail,Dallas,TX,4698175662,537250563
ID000118,Howard Fisher,hfisher39@wisc.edu,2 Reinke Lane,Plano,TX,9723256683,508365238
ID000119,Eric Phillips,ephillips3a@telegraph.co.uk,578 Westend Pass,Dallas,TX,9728930831,663897131
ID000120,Albert Cruz,acruz3b@google.co.uk,04 Shopko Way,Dallas,TX,9724714420,582890521
ID000121,Timothy Harrison,tharrison3c@posterous.com,04099 Anhalt Place,Dallas,TX,2148497879,112244907
ID000122,Ronald Phillips,rphillips3d@ox.ac.uk,4632 Brentwood Hill,Dallas,TX,4699454638,593248597
ID000123,Antonio Bishop,abishop3e@google.com,212 Memorial Lane,Richardson,TX,4698358047,152069743
ID000124,Howard Green,hgreen3f@dyndns.org,9 Florence Trail,Dallas,TX,2148758195,917730651
ID000125,Willie Murphy,wmurphy3g@technorati.com,09 Loeprich Parkway,Richardson,TX,2149545495,550664068
ID000126,Christine Washington,cwashington3h@goo.gl,95086 Eliot Alley,Dallas,TX,4698445383,151320622
ID000127,Angela Ellis,aellis3i@irs.gov,61 Chinook Avenue,Dallas,TX,4699127557,363529311
ID000128,Kathy Wagner,kwagner3j@alibaba.com,1 Columbus Crossing,Plano,TX,2149582980,498979543
ID000129,Antonio Carr,acarr3k@livejournal.com,6996 Arizona Avenue,Dallas,TX,4697240803,109593700
ID000130,Samuel Ellis,sellis3l@domainmarket.com,69968 Meadow Ridge Alley,Dallas,TX,4699578249,919117074
ID000131,Bruce Williamson,bwilliamson3m@fc2.com,51 Maywood Place,Richardson,TX,2149696651,532193189
ID000132,Ruby Mcdonald,rmcdonald3n@qq.com,031 Ohio Lane,Dallas,TX,2149705621,186612257
ID000133,Jack Larson,jlarson3o@sourceforge.net,43086 Dexter Way,Dallas,TX,4699136292,758820981
ID000134,Tammy Hunter,thunter3p@google.ru,08 Marquette Pass,Dallas,TX,2149190495,789850156
ID000135,Mildred Richards,mrichards3q@t-online.de,6863 Warbler Crossing,Dallas,TX,4696367310,144612857
ID000136,Janet Dixon,jdixon3r@pbs.org,1 Ridgeway Terrace,Dallas,TX,9723819665,812344775
ID000137,Antonio Hamilton,ahamilton3s@bloglovin.com,2545 Lerdahl Center,Dallas,TX,2148866681,605135959
ID000138,Louise Jordan,ljordan3t@moonfruit.com,7326 Reindahl Point,Dallas,TX,9725189421,873831740
ID000139,Linda Hunt,lhunt3u@army.mil,710 Lighthouse Bay Point,Dallas,TX,9727547045,992254077
ID000140,Joan Webb,jwebb3v@amazon.com,90 Bashford Avenue,Dallas,TX,4699550632,222460064
ID000141,Kevin Frazier,kfrazier3w@g.co,47 Bluejay Hill,Dallas,TX,9729653683,135711523
ID000142,Todd Schmidt,tschmidt3x@adobe.com,4 Lakeland Pass,Dallas,TX,2149036828,490888407
ID000143,Andrea Sims,asims3y@paypal.com,898 Killdeer Pass,Dallas,TX,4699880761,797954607
ID000144,Barbara Brooks,bbrooks3z@tinypic.com,305 Mendota Plaza,Dallas,TX,4699588251,959243477
ID000145,Kenneth Anderson,kanderson40@smh.com.au,246 Shopko Drive,Richardson,TX,9729985406,600790040
ID000146,Jessica Knight,jknight41@admin.ch,36 Forest Park,Richardson,TX,4699610488,704596830
ID000147,Dorothy Adams,dadams42@reverbnation.com,2483 Melody Plaza,Richardson,TX,9728818472,542879344
ID000148,Phillip Adams,padams43@miibeian.gov.cn,4 Derek Point,Dallas,TX,9729180335,634808812
ID000149,James Carpenter,jcarpenter44@cyberchimps.com,6668 Ilene Court,Dallas,TX,2148208276,599726050
ID000150,Amy Lopez,alopez45@themeforest.net,715 Westend Avenue,Dallas,TX,4698301019,751570699
ID000151,Frank Gomez,fgomez46@unicef.org,61280 Mallory Parkway,Plano,TX,2149622973,570719526
ID000152,Debra Rogers,drogers47@weibo.com,4 Southridge Place,Richardson,TX,4697537894,585658864
ID000153,Aaron Chapman,achapman48@oakley.com,840 Messerschmidt Plaza,Dallas,TX,9727533651,784423645
ID000154,Jerry Cruz,jcruz49@utexas.edu,48314 Muir Crossing,Dallas,TX,2149738302,327002811
ID000155,Gerald Mccoy,gmccoy4a@archive.org,71113 Corry Circle,Plano,TX,4697583820,209645805
ID000156,Matthew Ward,mward4b@eepurl.com,3726 Oneill Terrace,Plano,TX,9726682488,352525321
ID000157,Marilyn Andrews,mandrews4c@last.fm,61664 Warrior Street,Dallas,TX,9728314215,312336562
ID000158,Lawrence Coleman,lcoleman4d@techcrunch.com,0 Scoville Plaza,Plano,TX,4699873187,585358539
ID000159,Sarah Burton,sburton4e@cnbc.com,65230 Prairie Rose Point,Plano,TX,9727360106,766726736
ID000160,Gerald White,gwhite4f@ocn.ne.jp,82 Delaware Plaza,Plano,TX,2147745757,519221664
ID000161,Shawn Robertson,srobertson4g@lulu.com,9 Troy Alley,Dallas,TX,2149439366,811232706
ID000162,Samuel Arnold,sarnold4h@google.com.br,1748 Monterey Road,Dallas,TX,4697415231,983171073
ID000163,Ruby Mcdonald,rmcdonald4i@sohu.com,00621 Killdeer Crossing,Dallas,TX,4699415043,153095087
ID000164,Lillian Kim,lkim4j@npr.org,47585 Nova Drive,Dallas,TX,2147402312,208162580
ID000165,Pamela Bradley,pbradley4k@disqus.com,2 Lakewood Gardens Place,Richardson,TX,4698713326,604544201
ID000166,Ralph Chavez,rchavez4l@eventbrite.com,15739 Vera Plaza,Dallas,TX,2145985319,764512571
ID000167,Martin Richards,mrichards4m@mysql.com,8 New Castle Trail,Dallas,TX,4699760263,102721991
ID000168,Chris Simmons,csimmons4n@canalblog.com,46833 Farmco Junction,Dallas,TX,4698100333,743821324
ID000169,Martin Stevens,mstevens4o@berkeley.edu,573 Oneill Hill,Dallas,TX,4695702393,915276165
ID000170,Lisa West,lwest4p@globo.com,55586 Ronald Regan Lane,Dallas,TX,9729984345,615688488
ID000171,Daniel Marshall,dmarshall4q@de.vu,3 Manitowish Crossing,Dallas,TX,4697304725,538661965
ID000172,John Hicks,jhicks4r@spotify.com,81 Northfield Place,Richardson,TX,9727271591,981953778
ID000173,Roger Harrison,rharrison4s@rakuten.co.jp,9 Meadow Vale Drive,Dallas,TX,4699415954,802736786
ID000174,Teresa Thompson,tthompson4t@networkadvertising.org,06364 Gerald Street,Dallas,TX,9726701547,777087277
ID000175,Arthur Freeman,afreeman4u@trellian.com,51652 Russell Street,Dallas,TX,4699944509,445902407
ID000176,Howard Simpson,hsimpson4v@yellowpages.com,95 Redwing Lane,Dallas,TX,9729100392,909023006
ID000177,Christopher Spencer,cspencer4w@uol.com.br,6 Northfield Crossing,Dallas,TX,2148219650,790101835
ID000178,Theresa Wood,twood4x@jigsy.com,0420 Westport Circle,Dallas,TX,4699941901,847641856
ID000179,Lillian Wright,lwright4y@ebay.com,82972 Raven Road,Dallas,TX,9729605502,930978594
ID000180,Sara Rogers,srogers4z@google.fr,7 Twin Pines Circle,Dallas,TX,2149845323,823594050
ID000181,Linda Richards,lrichards50@pagesperso-orange.fr,046 Harper Center,Dallas,TX,2149982489,831372302
ID000182,Albert Cunningham,acunningham51@shutterfly.com,414 Summer Ridge Trail,Richardson,TX,9727163924,139708042
ID000183,Debra Holmes,dholmes52@chron.com,22 Bluejay Road,Plano,TX,9729548773,611169228
ID000184,Jason Davis,jdavis53@qq.com,82931 Cardinal Junction,Dallas,TX,2149699787,248335177
ID000185,Justin Fowler,jfowler54@privacy.gov.au,1958 Leroy Way,Dallas,TX,9729152410,399388513
ID000186,Catherine Harris,charris55@so-net.ne.jp,4091 Doe Crossing Alley,Plano,TX,4699687984,515584650
ID000187,Gary Reyes,greyes56@wufoo.com,06 Shelley Parkway,Dallas,TX,9729852014,911946409
ID000188,Clarence Harvey,charvey57@vinaora.com,637 Blackbird Crossing,Dallas,TX,9727358046,952372293
ID000189,Kathleen Lynch,klynch58@tripod.com,0 Northview Center,Dallas,TX,4698589821,866263470
ID000190,Angela Myers,amyers59@unblog.fr,07 Jenifer Point,Plano,TX,2149963258,696871283
ID000191,Paula Roberts,proberts5a@about.me,2025 Annamark Court,Richardson,TX,2149191512,525300056
ID000192,Marie Hudson,mhudson5b@go.com,35523 Fulton Point,Richardson,TX,9729550047,455251300
ID000193,Victor George,vgeorge5c@paypal.com,16 Butterfield Place,Plano,TX,4699820024,300833012
ID000194,Judith Lane,jlane5d@miibeian.gov.cn,59463 Havey Center,Dallas,TX,4699621701,568537223
ID000195,Steven Carpenter,scarpenter5e@china.com.cn,64 Rutledge Court,Richardson,TX,9727592760,219131583
ID000196,Beverly Welch,bwelch5f@pinterest.com,0 7th Point,Richardson,TX,2147582027,628419882
ID000197,Chris Cox,ccox5g@wix.com,386 Coleman Avenue,Richardson,TX,2149021149,553830248
ID000198,Heather Duncan,hduncan5h@constantcontact.com,3 Acker Avenue,Richardson,TX,9729062444,664423811
ID000199,Helen Cooper,hcooper5i@intel.com,90887 Ohio Trail,Dallas,TX,2147239307,932052280
ID000200,Linda Dixon,ldixon5j@simplemachines.org,0506 Boyd Plaza,Richardson,TX,2149400096,359156568
ID000201,Eric Wood,ewood5k@cnbc.com,730 Bonner Hill,Dallas,TX,9729597132,377036374
ID000202,Brenda Brooks,bbrooks5l@kickstarter.com,4 Pennsylvania Hill,Dallas,TX,9729605440,956775994
ID000203,Fred Crawford,fcrawford5m@fastcompany.com,00 Mariners Cove Terrace,Dallas,TX,9729781543,262729956
ID000204,Alan Morris,amorris5n@businesswire.com,2238 Debra Center,Dallas,TX,4697013591,935261044
ID000205,Jimmy Watkins,jwatkins5o@msn.com,91873 Colorado Crossing,Dallas,TX,4699333579,575573479
ID000206,Keith Fisher,kfisher5p@ehow.com,2 Muir Crossing,Richardson,TX,9729991883,534352839
ID000207,Rose Oliver,roliver5q@reference.com,3152 Thackeray Point,Dallas,TX,2149719384,487483434
ID000208,Johnny Vasquez,jvasquez5r@diigo.com,809 Grover Circle,Dallas,TX,9728435554,282195051
ID000209,Judith Dunn,jdunn5s@huffingtonpost.com,337 Northview Point,Dallas,TX,9729991156,198526239
ID000210,Roger Freeman,rfreeman5t@opensource.org,13 Farmco Way,Dallas,TX,4698549842,165453343
ID000211,Richard Bailey,rbailey5u@fc2.com,3108 Browning Park,Richardson,TX,2147180392,983870005
ID000212,Ernest Palmer,epalmer5v@japanpost.jp,66600 Pleasure Drive,Dallas,TX,2142381120,387201613
ID000213,Janice Long,jlong5w@xrea.com,26577 Laurel Road,Dallas,TX,2149720889,440220860
ID000214,Thomas Schmidt,tschmidt5x@ucoz.ru,0 New Castle Crossing,Plano,TX,4697459014,589602564
ID000215,Kathryn Hayes,khayes5y@usa.gov,18504 Basil Hill,Dallas,TX,4698317793,564077138
ID000216,Chris Perkins,cperkins5z@nasa.gov,14865 John Wall Center,Plano,TX,9729573368,106588800
ID000217,Thomas Scott,tscott60@cpanel.net,449 Schurz Parkway,Dallas,TX,4699145396,664128122
ID000218,Judy Richards,jrichards61@narod.ru,9420 Main Hill,Dallas,TX,4698718324,394694479
ID000219,Janice Garrett,jgarrett62@naver.com,2998 Chive Place,Dallas,TX,2148096943,977891063
ID000220,Raymond Peterson,rpeterson63@friendfeed.com,892 Fairfield Point,Richardson,TX,4699475199,720120662
ID000221,Marilyn Williams,mwilliams64@blinklist.com,0 John Wall Circle,Dallas,TX,2149928183,344038015
ID000222,Teresa Reid,treid65@baidu.com,9224 Manufacturers Terrace,Dallas,TX,9724576436,166809145
ID000223,Irene Medina,imedina66@hhs.gov,51 Southridge Pass,Dallas,TX,9729943852,628544529
ID000224,Linda Carpenter,lcarpenter67@flavors.me,43 Dovetail Road,Dallas,TX,9728668440,763925219
ID000225,Jonathan Harrison,jharrison68@hp.com,113 Havey Crossing,Plano,TX,4699002769,468306717
ID000226,Laura Graham,lgraham69@rakuten.co.jp,72346 Emmet Place,Dallas,TX,4698924249,716635871
ID000227,Sharon Pierce,spierce6a@dmoz.org,9 Clove Trail,Dallas,TX,9729305410,462648746
ID000228,Katherine Boyd,kboyd6b@cafepress.com,90 Park Meadow Junction,Dallas,TX,2146525153,890274530
ID000229,Brian Perkins,bperkins6c@adobe.com,5988 Havey Street,Dallas,TX,9729732502,875977822
ID000230,Eric Cooper,ecooper6d@studiopress.com,7 Granby Road,Dallas,TX,9729702642,867848327
ID000231,Randy Stanley,rstanley6e@cbsnews.com,94552 Linden Court,Dallas,TX,9728158835,907941254
ID000232,Pamela Gutierrez,pgutierrez6f@cdbaby.com,50236 Goodland Lane,Plano,TX,9729682569,319592633
ID000233,Keith Perkins,kperkins6g@mayoclinic.com,9543 Farragut Road,Richardson,TX,2148040599,145928000
ID000234,Scott Spencer,sspencer6h@edublogs.org,5 Lukken Junction,Dallas,TX,2147014621,361703782
ID000235,Todd Bryant,tbryant6i@lycos.com,418 Onsgard Hill,Dallas,TX,2149807359,992964866
ID000236,Jose Anderson,janderson6j@comsenz.com,2705 Ohio Junction,Dallas,TX,2145302752,916548159
ID000237,Amanda Davis,adavis6k@studiopress.com,1636 Norway Maple Place,Plano,TX,4699135733,133834824
ID000238,Richard Cruz,rcruz6l@sina.com.cn,69 Marquette Park,Richardson,TX,4699027741,712128661
ID000239,Sara Walker,swalker6m@bloomberg.com,18924 3rd Circle,Dallas,TX,9729327544,325772883
ID000240,Gloria Sanders,gsanders6n@blog.com,36961 Green Ridge Place,Dallas,TX,2149373306,974709717
ID000241,Jonathan Harris,jharris6o@freewebs.com,286 Merry Way,Dallas,TX,4698734473,584043187
ID000242,Juan Fields,jfields6p@nationalgeographic.com,291 Marquette Parkway,Richardson,TX,9729167303,152313951
ID000243,Wanda Mills,wmills6q@twitter.com,79024 Surrey Way,Dallas,TX,4699206298,950883244
ID000244,Karen Davis,kdavis6r@discuz.net,83 Holy Cross Drive,Dallas,TX,9728905755,315120643
ID000245,Scott Montgomery,smontgomery6s@squarespace.com,96247 Oriole Circle,Dallas,TX,9729295312,328212988
ID000246,Michael Stevens,mstevens6t@reuters.com,356 Shoshone Drive,Dallas,TX,4698035017,752038294
ID000247,Andrea Baker,abaker6u@ning.com,90 Heath Drive,Dallas,TX,4699301109,223105941
ID000248,Marilyn Alexander,malexander6v@goo.gl,443 Dottie Circle,Dallas,TX,9724062617,383362902
ID000249,Harry Alvarez,halvarez6w@blogspot.com,636 Express Way,Dallas,TX,2149545716,556967003
ID000250,Rose Peterson,rpeterson6x@unesco.org,034 Shelley Drive,Dallas,TX,9728614171,760251865
ID000251,Barbara Garcia,bgarcia6y@chicagotribune.com,5690 Acker Road,Dallas,TX,4695178843,196060978
ID000252,Ann Berry,aberry6z@wix.com,37940 Morning Hill,Dallas,TX,9729187984,140562974
ID000253,Paul Turner,pturner70@eventbrite.com,75287 Pleasure Place,Dallas,TX,9727826768,493924232
ID000254,Theresa Day,tday71@skyrock.com,9 American Ash Crossing,Dallas,TX,9729094722,353189662
ID000255,Andrew Gilbert,agilbert72@npr.org,8 American Parkway,Dallas,TX,9728342804,926428995
ID000256,Alice Turner,aturner73@seesaa.net,4 Namekagon Lane,Dallas,TX,2146606741,741117814
ID000257,Julie Smith,jsmith74@nydailynews.com,61345 Namekagon Place,Dallas,TX,4698612346,700238477
ID000258,Alice Carr,acarr75@devhub.com,7564 Ohio Plaza,Dallas,TX,2145491687,390308158
ID000259,Harry Baker,hbaker76@hostgator.com,7 Straubel Center,Plano,TX,4695905412,941057192
